#name	rank	LBI
A/Moscow/02/2009|2009-05-26|EPI_ISL_30833	1	0.12716615665981254
A/Moscow/IIV02/2009|2009-05-26|EPI_ISL_61233=A/Moscow/03/2009|2009-05-26|EPI_ISL_30900	2	0.12716615665981254
A/Saint-Petersburg/5/2009|2009-08-13|EPI_ISL_76856	3	0.125
A/Russia/190/2009|2009-11-01|EPI_ISL_66046	4	0.125
A/Nizhnii_Novgorod/CRIE-AVA/2011|2011-02-02|EPI_ISL_95857	5	0.125
A/Orenburg/CRIE-VNV/2009|2009-08-16|EPI_ISL_75805	6	0.125
A/St_Petersburg/01/2009|2009-09-21|EPI_ISL_62326	7	0.125
A/Astrakhan/CRIE-PIV/2009|2009-12-09|EPI_ISL_75830	8	0.125
A/St__Petersburg/11/2011|2011-01-24|EPI_ISL_89917	9	0.125
A/St__Petersburg/20/2010|2010-03-01|EPI_ISL_79200	10	0.125
A/Penza/CRIE-POC/2011|2011-01-17|EPI_ISL_95841	11	0.125
A/Salehard/CRIE-HSN/2009|2009-10-01|EPI_ISL_75827	12	0.125
A/Novosibirsk/24k/2011|2011-01-31|EPI_ISL_102394=A/Tomsk/18/2011|2011-02-20|EPI_ISL_102398	13	0.125
A/Novosibirsk/KSH/2011|2011-02-03|EPI_ISL_102003	14	0.125
A/Kaliningrad/01/2009|2009-11-02|EPI_ISL_70267	15	0.125
A/Moscow_oblast/CRIE-STV/2009|2009-11-09|EPI_ISL_75800	16	0.125
A/Moscow_oblast/CRIE-IVD/2009|2009-09-10|EPI_ISL_75839	17	0.125
A/Russia/191/2009|2009-11-01|EPI_ISL_66075	18	0.125
A/Chita/CRIE-8/2009|2009-11-02|EPI_ISL_75789	19	0.125
A/IIV-Anadyr/177/2009|2009-12-04|EPI_ISL_70342	20	0.125
A/Stavropol/CRIE-BLV/2009|2009-11-18|EPI_ISL_75808	21	0.125
A/Russia/100/2009|2009-11-01|EPI_ISL_67081	22	0.125
A/Ulyanovsk/CRIE-OAA/2009|2009-11-21|EPI_ISL_75845	23	0.125
A/Moscow_oblast/CRIE-4142/2009|2009-07-15|EPI_ISL_75797=A/Moscow_oblast/CRIE-4145/2009|2009-07-15|EPI_ISL_75798	24	0.125
A/Moscow_oblast/CRIE-OAM/2009|2009-11-02|EPI_ISL_75812	25	0.125
A/St_Petersburg/CRIE-VMN/2009|2009-11-19|EPI_ISL_75829	26	0.125
A/Vladivistok/7/2010|2010-12-03|EPI_ISL_87285	27	0.125
A/IIV-Vladimir/67/2011|2011-02-22|EPI_ISL_1347833	28	0.125
A/Kaliningrad/CRIE-MA/2009|2009-09-25|EPI_ISL_75821=A/Kaliningrad/CRIE-ZD/2009|2009-09-25|EPI_ISL_75820=A/Kaliningrad/CRIE-KG/2009|2009-09-25|EPI_ISL_75823=A/Kaliningrad/CRIE-SHD/2009|2009-09-25|EPI_ISL_75822=A/Kaliningrad/CRIE-DA/2009|2009-09-26|EPI_ISL	29	0.125
A/Moscow/CRIE-BVA/2009|2009-10-24|EPI_ISL_75803	30	0.125
A/Perm/01/2009|2009-11-25|EPI_ISL_68137	31	0.125
A/Voronezh/01/2011|2011-03-14|EPI_ISL_89925	32	0.125
A/St__Petersburg/103/2010|2010-02-08|EPI_ISL_77685	33	0.125
A/Yaroslavl/IIV-198/2009|2009-12-05|EPI_ISL_73786	34	0.125
A/Murmansk/CRIE-DII/2009|2009-09-21|EPI_ISL_75841=A/Murmansk/CRIE-LKA/2009|2009-09-21|EPI_ISL_75843=A/Murmansk/CRIE-PAI/2009|2009-09-17|EPI_ISL_75842=A/Murmansk/CRIE-JAS/2009|2009-09-21|EPI_ISL_75844	35	0.125
A/IIV-Vel_Novgorod/95/2011|2011-04-04|EPI_ISL_1347992	36	0.125
A/Tambov/CRIE-FOS/2009|2009-12-01|EPI_ISL_75810	37	0.125
A/Tomsk/05/2009|2009-11-18|EPI_ISL_67435	38	0.125
A/Archangelsk/CRIE-SPA/2011|2011-01-31|EPI_ISL_95850	39	0.125
A/Orenburg/IIV-13/2010|2010-03-02|EPI_ISL_76246	40	0.125
A/Ivanovo/CRIE-AIV/2009|2009-11-18|EPI_ISL_75856	41	0.125
A/Novosibirsk/107k/2011|2011-02-04|EPI_ISL_102397=A/Novosibirsk/104k/2011|2011-02-08|EPI_ISL_102396	42	0.125
