#name	rank	LBI
190	1	8.18513998977947
279	2	7.595156364166017
644	3	5.501344190629424
188	4	5.104346001209287
215	5	4.90755685348777
497	6	4.7742758519845685
412	7	4.768464181070867
564	8	3.616524436854946
610	9	3.3266786722776596
648	10	3.310684813765377
310	11	3.256257996829506
602	12	3.0428189612120304
418	13	3.02393814072868
580	14	2.993453782521857
583	15	2.9366461027939823
483	16	2.9250286003274937
253	17	2.739850182079757
345	18	2.6456222547738624
115	19	2.540974593241352
557	20	2.4872434652531803
525	21	2.4170763589872135
609	22	2.2616032695474986
563	23	2.223170606707352
172	24	2.1894751800153474
541	25	2.1678409840288335
244	26	2.0644634351689324
411	27	2.0445052717205927
666	28	2.0383913668045164
664	29	1.9888273763999518
7	30	1.979712290706161
515	31	1.977808290753474
581	32	1.9595268674477857
522	33	1.9488860910669963
212	34	1.9378419926795578
239	35	1.9314943984673858
379	36	1.8790283440990463
103	37	1.8577095190397337
471	38	1.8497247950651496
189	39	1.838235843652578
626	40	1.8106727792545605
78	41	1.7673720015686625
15	42	1.7273547473147692
595	43	1.6811521988559175
366	44	1.671299611154459
597	45	1.6687837987947973
184	46	1.65937618181733
606	47	1.6033854913421122
561	48	1.6020785915683329
116	49	1.5998887811962896
371	50	1.5996679114824706
326	51	1.5763092593070664
641	52	1.5695114204147844
540	53	1.566322763054122
530	54	1.5492121709292175
430	55	1.5410676684672793
243	56	1.5323326568451443
270	57	1.5207786195038695
369	58	1.486037669116055
615	59	1.4755554204789467
236	60	1.4670481065866774
133	61	1.4604468197276415
554	62	1.4372194841115153
173	63	1.4284142508755062
276	64	1.4178407698156787
84	65	1.394072530913168
242	66	1.3861891795792456
45	67	1.3851584311088536
621	68	1.3831312406962275
101	69	1.3723202881072778
429	70	1.3715691112759396
319	71	1.3703917510071821
275	72	1.3265913188332794
27	73	1.322862718809736
479	74	1.306589169475532
54	75	1.2980311791597294
324	76	1.2906171874353445
537	77	1.2832562120258628
340	78	1.2801143095511764
90	79	1.2760254066697627
125	80	1.2714225484864494
630	81	1.2699745762503714
367	82	1.2576388486271237
51	83	1.2549613610966286
492	84	1.2500537191958467
383	85	1.238032251685726
619	86	1.2237582536838885
470	87	1.2190400546819755
466	88	1.2131985627492803
269	89	1.1985990475170802
607	90	1.1983501566187933
393	91	1.1833635206415398
315	92	1.182387799120292
238	93	1.1712090507226265
547	94	1.1676306112019461
168	95	1.166774234944024
36	96	1.1576597488281355
636	97	1.157319336235904
120	98	1.1561111238650876
9	99	1.1504882441132156
166	100	1.1488529698346635
165	101	1.1350880999125983
4	102	1.1000828437926276
618	103	1.0987488860678578
139	104	1.0985685985590536
113	105	1.0963184043007506
362	106	1.0949986820060924
185	107	1.0942308654404223
552	108	1.0898483782823507
562	109	1.0853830880107855
16	110	1.0792426861228561
533	111	1.07564163819168
186	112	1.0689547237071193
30	113	1.0640916163340268
