#name	rank	LBI
A/Moscow/IIV02/2009|2009-05-26|EPI_ISL_61233=A/Moscow/03/2009|2009-05-26|EPI_ISL_30900	1	0.13267489555281703
A/Moscow/02/2009|2009-05-26|EPI_ISL_30833	2	0.13267489555281703
A/Moscow/IIV03/2009|2009-06-03|EPI_ISL_31497	3	0.125
A/Tver/IIV2969/2009|2009-11-14|EPI_ISL_66926	4	0.125
A/Stavropol/CRIE-BLV/2009|2009-11-18|EPI_ISL_75808	5	0.125
A/Novosibirsk/02/2009|2009-07-21|EPI_ISL_66840=A/Moscow/IIV01/2009|2009-05-21|EPI_ISL_61232=A/Moscow/IIV05/2009|2009-06-20|EPI_ISL_61234=A/Russia/01/2009|2009-09-22|EPI_ISL_62600=A/Moscow/IIV04/2009|2009-07-09|EPI_ISL_32460	6	0.125
A/Astrakhan/CRIE-PIV/2009|2009-12-09|EPI_ISL_75830	7	0.125
A/Russia/74/2009|2009-11-01|EPI_ISL_66048	8	0.125
A/St__Petersburg/103/2010|2010-02-08|EPI_ISL_77685	9	0.125
A/Saratov/07/2010|2010-02-01|EPI_ISL_77682	10	0.125
A/Russia/165/2009|2009-11-10|EPI_ISL_65693	11	0.125
A/St_Petersburg/CRIE-VMN/2009|2009-11-19|EPI_ISL_75829	12	0.125
A/Russia/100/2009|2009-11-01|EPI_ISL_67081	13	0.125
A/Moscow/CRIE-BVA/2009|2009-10-24|EPI_ISL_75803	14	0.125
A/Lipetsk/CRIE-BVV/2009|2009-11-10|EPI_ISL_75791	15	0.125
A/Kaliningrad/01/2009|2009-11-02|EPI_ISL_70267	16	0.125
A/Yaroslavl/IIV-198/2009|2009-12-05|EPI_ISL_73786	17	0.125
A/Nizhni_Novgorod/CRIE-MEV/2009|2009-07-30|EPI_ISL_75831	18	0.125
A/Russia/12/2009|2009-11-01|EPI_ISL_67082	19	0.125
A/Murmansk/CRIE-DII/2009|2009-09-21|EPI_ISL_75841=A/Murmansk/CRIE-LKA/2009|2009-09-21|EPI_ISL_75843=A/Murmansk/CRIE-PAI/2009|2009-09-17|EPI_ISL_75842=A/Murmansk/CRIE-JAS/2009|2009-09-21|EPI_ISL_75844	20	0.125
A/Ivanovo/CRIE-RNA/2009|2009-11-24|EPI_ISL_75811	21	0.125
A/Vladivostok/IIV17/2009|2009-07-22|EPI_ISL_61527=A/Vladivostok/IIV18/2009|2009-07-24|EPI_ISL_61528	22	0.125
A/Chita/CRIE-8/2009|2009-11-02|EPI_ISL_75789	23	0.125
A/Kaliningrad/CRIE-MA/2009|2009-09-25|EPI_ISL_75821=A/Kaliningrad/CRIE-ZD/2009|2009-09-25|EPI_ISL_75820=A/Kaliningrad/CRIE-KG/2009|2009-09-25|EPI_ISL_75823=A/Kaliningrad/CRIE-SHD/2009|2009-09-25|EPI_ISL_75822=A/Kaliningrad/CRIE-DA/2009|2009-09-26|EPI_ISL	24	0.125
A/Tomsk/03/2009|2009-07-19|EPI_ISL_66839=A/Barnaul/04/2009|2009-12-18|EPI_ISL_69726	25	0.125
A/Magadan/02/2009|2009-12-14|EPI_ISL_69728	26	0.125
A/IIV-Vladimir/181/2009|2009-11-23|EPI_ISL_1347504	27	0.125
A/Yaroslavl/CRIE-CHMV/2009|2009-11-10|EPI_ISL_75801	28	0.125
A/Moscow/CRIE-CHSN/2009|2009-11-23|EPI_ISL_75806	29	0.125
A/Moscow_oblast/CRIE-IVD/2009|2009-09-10|EPI_ISL_75839	30	0.125
A/Orenburg/01/2009|2009-08-06|EPI_ISL_96759	31	0.125
A/Blagovechensk/01/2009|2009-11-12|EPI_ISL_74678	32	0.125
A/Saratov/07/2010|2010-02-01|EPI_ISL_77681	33	0.125
A/Moscow_oblast/CRIE-4142/2009|2009-07-15|EPI_ISL_75797=A/Moscow_oblast/CRIE-4145/2009|2009-07-15|EPI_ISL_75798	34	0.125
A/Russia/61/2009|2009-11-01|EPI_ISL_67086	35	0.125
