#name	rank	LBI
A/St_Petersburg/CRIE/141/2022|2022-11-23|EPI_ISL_16044174=A/St_Petersburg/CRIE/138/2022|2022-11-26|EPI_ISL_16044171	1	20.5366959368036
A/Volgograd/CRIE/290/2022|2022-12-16|EPI_ISL_16302304	2	4.215998886019024
A/St_Petersburg/CRIE/139/2022|2022-11-27|EPI_ISL_16044172	3	4.183287517957933
A/Veliky_Novgorod/CRIE/89/2022|2022-11-22|EPI_ISL_15984914=A/Veliky_Novgorod/CRIE/88/2022|2022-11-22|EPI_ISL_15984913	4	4.183287517957933
A/Khabarovsk/160/2022|2022-12-14|EPI_ISL_17646559=A/Khabarovsk/160/2023|2023-01-10|EPI_ISL_17712272	5	4.062372181688484
A/Saint-Petersburg/RII-2615S/2020|2020-01-24|EPI_ISL_419055	6	1.9701533827534423
A/Tambov/CRIE/14/2022|2022-11-02|EPI_ISL_15800980	7	1.8168949362820714
A/Moscow/RII-511S/2018|2018-12-24|EPI_ISL_337119=A/Nizhni_Novgorod/RII-2425S/2019|2019-01-29|EPI_ISL_364576	8	1.8064460827869209
A/Moscow/221/2018|2018-12-20|EPI_ISL_345982	9	1.8064460827869209
A/Moscow_oblast/CRIE/12/2022|2022-10-24|EPI_ISL_15631384	10	1.7880755813840694
A/Moscow/CRIE/23/2022|2022-11-06|EPI_ISL_15800984	11	1.7880755813840694
A/Moscow_oblast/CRIE/25/2022|2022-11-07|EPI_ISL_15839919	12	1.753135812815462
A/Saint-Petersburg/RII873S/2016|2016-01-18|EPI_ISL_207572	13	1.6667543944467158
A/IIV-Moscow/202/2015|2015-12-22|EPI_ISL_207538	14	1.6461058451782615
A/Saint-Petersburg/RII854S/2016|2016-01-14|EPI_ISL_207565	15	1.6085199695641483
A/Moscow/248/2015|2015-12-18|EPI_ISL_224141	16	1.5876277554928437
A/Saransk/RII-MH128679S/2022|2022-12-22|EPI_ISL_17672653=A/Saransk/RII-MH128667S/2022|2022-12-18|EPI_ISL_17672645	17	1.549796017014887
A/Saint-Petersburg/RII-4821S/2022|2022-12-02|EPI_ISL_16296683	18	1.549796017014887
A/Saint-Petersburg/RII-6622S/2022|2022-12-16|EPI_ISL_16733616	19	1.5158047439112092
